Title,Year,Interventions,Subclass,Year2,Decade
Daddy-Long-Legs /,1912,FALSE,PS,1912,1910s
Kirchengeschichte /,1913,FALSE,BR,1913,1910s
"Griechisches Neues Testament. Text mit kurzem apparat,",1913,FALSE,BS,1913,1910s
"Churches in the modern state,",1913,FALSE,BV,1913,1910s
Spain and Portugal : handbook for travellers /,1913,FALSE,D,1913,1910s
A Turkish woman's European impressions /,1913,FALSE,D,1913,1910s
"The near East : Dalmatia, Greece and Constantinople /",1913,FALSE,D,1913,1910s
Coos texts /,1913,FALSE,E,1913,1910s
"Lectures on the American Civil War, delivered before the University of Oxford in Easter and Trinity terms 1912,",1913,FALSE,E,1913,1910s
"The comedy of manners,",1913,FALSE,PR,1913,1910s
"Youth and life,",1913,FALSE,PS,1913,1910s
The seventy-second Psalm ... /,1914,FALSE,BS,1914,1910s
The earlier epistles of St. Paul : their motive and origin /,1914,FALSE,BS,1914,1910s
The American Japanese problem; a study of the racial relations of the East and the West /,1914,FALSE,E,1914,1910s
"Church and nation. The Bishop Paddock lectures for 1914-15, delivered at the General Theological Seminary, New York,",1915,FALSE,BV,1915,1910s
Die Kriegsgefangenen in Deutschland,1915,FALSE,D,1915,1910s
An introduction to the study of the Maya hieroglyphs /,1915,FALSE,E,1915,1910s
Shakespeare on the stage. 2d series.,1915,FALSE,PR,1915,1910s
The beginnings of Christianity : with a view of the state of the Roman world at the birth of Christ /,1916,FALSE,BR,1916,1910s
Die Reformation Ostfrieslands nach der Darstellung der Lutheraner vom Jahre 1593 nebst einer kommentierten Ausgabe ihrer Berichte /,1916,FALSE,BR,1916,1910s
"The virgin birth of Jesus; a critical examination of the gospel-narratives of the Nativity, and other New Testament and early Christian evidence, and the alleged influence of heathen ideas /",1916,FALSE,BT,1916,1910s
Mitteleuropa.,1916,FALSE,D,1916,1910s
The life of William McKinley /,1916,FALSE,E,1916,1910s
The great valley /,1916,FALSE,PS,1916,1910s
"The worn doorstep,",1916,FALSE,PS,1916,1910s
The Letter of Aristeas ; translated with an appendix of ancient evidence on the origin of the Septuagint /,1917,FALSE,BS,1917,1910s
"The war in eastern Europe,",1917,FALSE,D,1917,1910s
"In Mesopotamia,",1917,FALSE,D,1917,1910s
Abraham Lincoln /,1917,FALSE,E,1917,1910s
"The Oxford book of English mystical verse,",1917,FALSE,PR,1917,1910s
Harvest moon /,1917,FALSE,PS,1917,1910s
Gelasius Kirchengeschichte /,1918,FALSE,BR,1918,1910s
"Folk-lore in the Old Testament : studies in comparative religion, legend and law /",1918,FALSE,BS,1918,1910s
"The evolution of the Christian ministry,",1918,FALSE,BV,1918,1910s
Memoirs of Sir Andrew Melvill /,1918,FALSE,D,1918,1910s
The structure of lasting peace; an inquiry into the motives of war and peace /,1918,FALSE,D,1918,1910s
"The geography of Europe; a presentation of some aspects of European geography for the use of members of the Students' army training corps,",1918,FALSE,D,1918,1910s
"Dramatic moments in American diplomacy,",1918,FALSE,E,1918,1910s
"Some Hawarden letters, 1878-1913 : written to Mrs. Drew (Miss Mary Gladstone) before and after her marriage /",1918,FALSE,PR,1918,1910s
The first duchess of Newcastle and her husband as figures in literary history /,1918,FALSE,PR,1918,1910s
"Tertullian's treatises : Concerning prayer, Concerning baptism /",1919,FALSE,BR,1919,1910s
The letters of St. Augustine /,1919,FALSE,BR,1919,1910s
Die Frau in der alten Kirche /,1919,FALSE,BR,1919,1910s
Meditations on the Psalms /,1919,FALSE,BS,1919,1910s
"What Wilson did at Paris,",1919,FALSE,D,1919,1910s
"Archeological explorations in northeastern Arizona,",1919,FALSE,E,1919,1910s
"The red man's continent; a chronicle of aboriginal America,",1919,FALSE,E,1919,1910s
The railroad builders : a chronicle of the welding of the states /,1919,FALSE,E,1919,1910s
Ben Jonson's Every man in his humor /,1919,FALSE,PR,1919,1910s
Gallegher & other stories /,1919,FALSE,PS,1919,1910s
Eating in two or three languages /,1919,FALSE,PS,1919,1910s
"The idea of God in the light of recent philosophy; the Gifford lectures delivered in the University of Aberdeen in the years l9l2 and l9l3,",1920,FALSE,BT,1920,1920s
"The philosophy of mysticism,",1920,FALSE,BV,1920,1920s
"Some letters written to Maude Gray and Marian Wickes, 1917-1918,",1920,FALSE,D,1920,1920s
The Columbian tradition on the discovery of America and of the part played therein by the astronomer Toscanelli : a memoir addressed to the professors Hermann Wagner of the University of Göttingen and Carlo Errara of Bologna /,1920,FALSE,E,1920,1920s
"The paths of inland commerce: a chronicle of trail, road, and waterway /",1920,FALSE,E,1920,1920s
"Old English ballads, 1553-1625, chiefly from manuscripts,",1920,FALSE,PR,1920,1920s
Shakespeare from Betterton to Irving /,1920,FALSE,PR,1920,1920s
Margaret Fuller; a psychological biography /,1920,FALSE,PS,1920,1920s
Geschichte als sinngebung des sinnlosen /,1921,FALSE,D,1921,1920s
"Cuba before Columbus,",1921,FALSE,E,1921,1920s
The American spirit in education : a chronicle of great teachers /,1921,FALSE,E,1921,1920s
The American spirit in education : a chronicle of great teachers /,1921,FALSE,E,1921,1920s
Theodore Roosevelt and his times : a chronicle of the progressive movement /,1921,FALSE,E,1921,1920s
Theodore Roosevelt and his times : a chronicle of the progressive movement /,1921,FALSE,E,1921,1920s
"Woodrow Wilson as I know him,",1921,FALSE,E,1921,1920s
A daughter of the middle border /,1921,FALSE,PS,1921,1920s
"Edgar A. Poe; a study,",1921,FALSE,PS,1921,1920s
The Christian faith: a series of essays for the use of parents and teachers written at the instance of the Christian evidencey society /,1922,FALSE,BR,1922,1920s
"Woodrow Wilson and world settlement,",1922,FALSE,D,1922,1920s
Early history of the Creek Indians and their neighbors /,1922,FALSE,E,1922,1920s
Civilization in the United States : an inquiry by thirty Americans /,1922,FALSE,E,1922,1920s
"Anglo-Saxon and Norse poems,",1922,FALSE,PR,1922,1920s
"The merry wives of Windsor,",1922,FALSE,PR,1922,1920s
Shakespeare.,1922,FALSE,PR,1922,1920s
"Incognita: or, Love and duty recondil'd /",1922,FALSE,PR,1922,1920s
Poems from the works of Charles Cotton /,1922,FALSE,PR,1922,1920s
"Carolina folk-plays,",1922,FALSE,PS,1922,1920s
Report on the Colony and Protectorate of Kenya for the year ... /,1963,FALSE,DT,1963,1960s
"Nationalism, revolution and evolution in South-East Asia. (Read at a colloquium held at the University of Hull during April 1968.",1970,FALSE,DS,1970,1970s
Tweede eeuw-gedachtenis der Middelburgsche vryheid zoo in den godsdienst als burgerstaat of historische aaneenschakeling van gebeurtenisseen der stad Middelburg in Zeeland...,1774.,FALSE,DJ,1774,1770s
Histoire de France pendant les gureres de religion.,1814-1816.,FALSE,DC,1814,1810s
"Clarissa; or, The history of a young lady: comprehending the most important concerns of private life; and particularly shewing the distresses that may attend the misconduct both of parents and children, in relation to marriage .",1820],FALSE,PR,1820,1820s
"The whole works of the Rev. John Lightfoot, master of Catharine Hall, Cambridge /",1822-1825.,FALSE,BR,1822,1820s
In sachen der Rheinprovinzen & in eigeener angelegenheit.,1822.,FALSE,DD,1822,1820s
A collection of essays and tracts /,1823-1826.,FALSE,BV,1823,1820s
"Collection des mémoires relatifs à l'histoire de France, depuis la fondation de la monarchie française jusqu'au 13e siècle;",1823-35.,FALSE,DC,1823,1820s
"Collection des mémoires relatifs à l'histoire de France, depuis la fondation de la monarchie française jusqu'au 13e siècle;",1823-35.,FALSE,DC,1823,1820s
"Collection des mémoires relatifs à l'histoire de France, depuis la fondation de la monarchie française jusqu'au 13e siècle;",1823-35.,FALSE,DC,1823,1820s
"Collection des mémoires relatifs à l'histoire de France, depuis la fondation de la monarchie française jusqu'au 13e siècle;",1823-35.,FALSE,DC,1823,1820s
Idées sur la philosophe de l'histoire de l'humanité /,1827-28.,FALSE,D,1827,1820s
Beiträge zur Landeskunde Oesterreich's unter der Enns /,1832-34.,FALSE,DB,1832,1830s
"Histoire de la réforme, de la Ligue, et du règne de Henri IV;",1834-1835.,FALSE,BR,1834,1830s
"Histoire de la réforme, de la Ligue, et du règne de Henri IV;",1834-1835.,FALSE,BR,1834,1830s
Souvenirs de la marquise de Créquy. 1710 à ... [1802],1834-35.,FALSE,DC,1834,1830s
Souvenirs de la marquise de Créquy. 1710 à ... [1802],1834-35.,FALSE,DC,1834,1830s
"Archives curieuses de l'histoire de France depuis Louis XI jusqu'a Louis XVIII, ou Collection de pièces rares et intéressantes ...: publiées d'apresles textes conse__ves à la Bibliothèque royale, et accompagnées de notices et d'éclaircissemens /",1834-40.,FALSE,DC,1834,1830s
"Archives curieuses de l'histoire de France depuis Louis XI jusqu'a Louis XVIII, ou Collection de pièces rares et intéressantes ...: publiées d'apresles textes conse__ves à la Bibliothèque royale, et accompagnées de notices et d'éclaircissemens /",1834-40.,FALSE,DC,1834,1830s
"Archives curieuses de l'histoire de France depuis Louis XI jusqu'a Louis XVIII, ou Collection de pièces rares et intéressantes ...: publiées d'apresles textes conse__ves à la Bibliothèque royale, et accompagnées de notices et d'éclaircissemens /",1834-40.,FALSE,DC,1834,1830s
The library of American biography.,1834-48.,FALSE,E,1834,1830s
The library of American biography.,1834-48.,FALSE,E,1834,1830s
The library of American biography.,1834-48.,FALSE,E,1834,1830s
The library of American biography.,1834-48.,FALSE,E,1834,1830s
The library of American biography.,1834-48.,FALSE,E,1834,1830s
"Wills and inventories illustrative of the history, manners, language, statistics, &c., of the northern countries of England : from the eleventh century downwards.",1835-1929.,FALSE,DA,1835,1830s
"American archives : consisting of a collection of authentick records, state papers, debates, and letters and other notices of publick affairs, the whole forming a documentary history of the origin and progress of the North American colonies; of the causes and accomplishment of the American Revolution; and of the Constitution of government for the United States, to the final ratification thereof /",1837-1853.,FALSE,E,1837,1830s
"American archives : consisting of a collection of authentick records, state papers, debates, and letters and other notices of publick affairs, the whole forming a documentary history of the origin and progress of the North American colonies; of the causes and accomplishment of the American Revolution; and of the Constitution of government for the United States, to the final ratification thereof /",1837-1853.,FALSE,E,1837,1830s
"The Annual register, or, a view of the history and politics of the year.",1839-1863.,FALSE,D,1839,1830s
"The Annual register, or, a view of the history and politics of the year.",1839-1863.,FALSE,D,1839,1830s
"The Annual register, or, a view of the history and politics of the year.",1839-1863.,FALSE,D,1839,1830s
"Memoirs of Sarah: duchess of Marlborough, and of the court of Queen Anne /",1839.,FALSE,DA,1839,1830s
"The history and antiquities of the Doric race,",1839.,FALSE,DF,1839,1830s
Geschichte des deutschen Freiheitskrieges vom Jahre 1813 bis zum Jahre 1815.,1840-1841.,FALSE,DD,1840,1840s
Papiers d'état du cardinal de Granvelle : d'apprès les manuscrits de la bibliothèque de Besançon /,1841-52.,FALSE,DC,1841,1840s
Papiers d'état du cardinal de Granvelle : d'apprès les manuscrits de la bibliothèque de Besançon /,1841-52.,FALSE,DC,1841,1840s
The history of the French revolution /,1842.,FALSE,DC,1842,1840s
"History of the great reformation of the sixteenth century in Germany, Switzerland, etc.,",1843-1846.,FALSE,BR,1843,1840s
Works ... /,1843-46.,FALSE,PR,1843,1840s
"Contemporary narrative of the proceedings against Dame Alice Kyteler, prosecuted for sorcery in 1324 /",1843.,FALSE,DA,1843,1840s
"Commentary on a harmony of the Evangelists, Matthew, Mark, and Luke /",1845-,FALSE,BS,1845,1840s
The dispatches and letters of Vice Admiral Lord Viscount Nelson : with notes /,1845-46.,FALSE,DA,1845,1840s
"Popular songs, illustrative of the French invasion of Ireland .../",1845-47.,FALSE,PR,1845,1840s
"Histoire de France sous Louis XIII et sous le ministère du Cardinal Mazarin, 1610-1661.",1846.,FALSE,DC,1846,1840s
"Histoire de France sous Louis XIII et sous le ministère du Cardinal Mazarin, 1610-1661.",1846.,FALSE,DC,1846,1840s
"Remarks on New Zealand, in February 1846.",1846.,FALSE,DU,1846,1840s
"The whole works of the Right Rev. Jeremy Taylor, with a life of the author, and a critical examination of his writings,",1847-1855.,FALSE,BR,1847,1840s
"The works of the right reverend father in God, Thomas Wilson, D.D., Lord Bishop of Sodor and Man.",1847-1863.,FALSE,BR,1847,1840s
"The works of the right reverend father in God, Thomas Wilson, D.D., Lord Bishop of Sodor and Man.",1847-1863.,FALSE,BR,1847,1840s
Séances générales tenues à ... en ... par la Société française pour la conservation des monuments historiques.,1847-1904.,FALSE,DC,1847,1840s
Séances générales tenues à ... en ... par la Société française pour la conservation des monuments historiques.,1847-1904.,FALSE,DC,1847,1840s
Séances générales tenues à ... en ... par la Société française pour la conservation des monuments historiques.,1847-1904.,FALSE,DC,1847,1840s
Séances générales tenues à ... en ... par la Société française pour la conservation des monuments historiques.,1847-1904.,FALSE,DC,1847,1840s
Expositions on the Book of Psalms /,1847-57.,FALSE,BS,1847,1840s
Expositions on the Book of Psalms /,1847-57.,FALSE,BS,1847,1840s
De Duitschers en De Nederlanden vóór den Munsterschen Vrede: Eene voorlezing.,1847.,FALSE,DJ,1847,1840s
"Sancti Irenaei episcopi lugdunensis Quae supersunt omnia : accedit apparatus continens ex iis, quae ab aliis editoribus aut de Irenaeo ipso aut de scriptis eius sunt disputata, meliora et iteratione haud indigna /",1848-53.,FALSE,BR,1848,1840s
Roger of Wendover's flowers of history: Comprising the history of England from the descent of the Saxons to A.D. 1235; formerly ascribed to Matthew Paris /,1849.,FALSE,DA,1849,1840s
Roger of Wendover's flowers of history: Comprising the history of England from the descent of the Saxons to A.D. 1235; formerly ascribed to Matthew Paris /,1849.,FALSE,DA,1849,1840s
Ancient Egypt under the Pharaohs /,1850.,FALSE,DT,1850,1850s
"Defensio Fidei nicænæ. A defense of the Nicene creed, out of the extant writings of the Catholick doctors, who flourished during the three first centuries of the Christian church; in which also is incidentally vindicated the Creed of Constantinople; concerning the Holy Ghost.",1851-52.,FALSE,BT,1851,1850s
"The Grenville papers: being the correspondence of Richard Grenville, earl Temple, K. G., and the Right Hon: George Grenville, their friends and contemporaries. Now first published from the original mss. ... /",1852-1853.,FALSE,DA,1852,1850s
"The works of Joseph Addison : including the whole contents of Bp. Hurd's edition, with letters and other pieces not found in any previous collection; and Macaulay's essay on his life and works /",1853-54.,FALSE,PR,1853,1850s
"The works of William Cowper : comprising his poems, correspondence and translations /",1853-55.,FALSE,PR,1853,1850s
"The works of William Cowper : comprising his poems, correspondence and translations /",1853-55.,FALSE,PR,1853,1850s
"The works of William Cowper : comprising his poems, correspondence and translations /",1853-55.,FALSE,PR,1853,1850s
"Œuvres du comte P. L. Rœderer: pair de France, membre de l'Institut, etc., etc., etc., /",1853-59.,FALSE,DC,1853,1850s
The history of the United States from the discovery of the American continent /,1854-1874.,FALSE,E,1854,1850s
The catacombs of Rome as illustrating the church of the first three centuries /,1854.,FALSE,DG,1854,1850s
"Histoire des regnes de Charles VII et de Louis Xi, jusqu'ici attribuée à Amelgard: rendue à son véritable auteur et publiée pour la première fois avec les autres ouvrages historiques du même écrivain pour la Société de l'histoire de France /",1855-,FALSE,DC,1855,1850s
"The British essayists : with prefaces, historical and biographical /",1855-1857.,FALSE,PR,1855,1850s
"The British essayists : with prefaces, historical and biographical /",1855-1857.,FALSE,PR,1855,1850s
"The British essayists : with prefaces, historical and biographical /",1855-1857.,FALSE,PR,1855,1850s
Orations and speeches on various occasions.,1856-,FALSE,E,1856,1850s
Orations and speeches on various occasions.,1856-,FALSE,E,1856,1850s
"Die Franken im Peloponnes: I. Geoffroy von Villehardon nach der griechischen verschronik der Franken in Morea, originaltext un metrische verdeutschung; II. Der fürst von Morea, historische novelle /",1856.,FALSE,DF,1856,1850s
Bibliothek der angelsächsischen Poesie in Kritisch bearbeiteten Texten und mit vollständigem Glossar /,1857-1864.,FALSE,PR,1857,1850s
Bibliothek der angelsächsischen Poesie in Kritisch bearbeiteten Texten und mit vollständigem Glossar /,1857-1864.,FALSE,PR,1857,1850s
Essays on the early period of the French Revolution.,1857.,FALSE,DC,1857,1850s
"Memorials of Henry the fifth, King of England /",1858.,FALSE,DA,1858,1850s
The fabric rolls of York minster /,1859.,FALSE,DA,1859,1850s
Visitation of the county of Yorke : begun in å __ni MDCLXV. and finished å __ni MDCLXVI /,1859],FALSE,DA,1859,1850s
"Travels and adventures of the Rev. Joseph Wolff ... : late missionary to the Jews and Muhammadans in Persia, Bakhara, Cashmere, etc.",1860-61.,FALSE,DS,1860,1860s
Home-life of English ladies in the XVII. century /,1860.,FALSE,DA,1860,1860s
"Travels in the regions of the upper and lower Amoor, and the Russian acquisitions on the confines of India and China ...",1860.,FALSE,DK,1860,1860s
"Lives of the queens of England, from the Norman conquest /",1861-1866.,FALSE,DA,1861,1860s
Giraldi Cambrensis opera /,1861-91.,FALSE,DA,1861,1860s
Giraldi Cambrensis opera /,1861-91.,FALSE,DA,1861,1860s
Giraldi Cambrensis opera /,1861-91.,FALSE,DA,1861,1860s
Celebrated friendships /,1861.,FALSE,DA,1861,1860s
Jacob Hop : gezant der Vereenigde Nederlanden /,1861.,FALSE,DJ,1861,1860s
"Descriptive catalogue of materials relating to the history of Great Britain and Ireland, to the end of the reign of Henry VII.",1862.,FALSE,DA,1862,1860s
Year books of the reign of King Edward the first. Years XX-[XXXV] /,1863-1879.,FALSE,DA,1863,1860s
Denkschrift des Königlich Preußischen Evangelisch-Theologischen Seminars zu Herborn.,1863-1905.,FALSE,BS,1863,1860s
Speculum historiale de gestis regum Angli_ae_ /,1863-69.,FALSE,DA,1863,1860s
"De Nederlandsche geschiedenïs in platen : Beredeneerde beschrijving van Nederlandsche historieplaten, zinneprenten en historische kaarten /",1863-82.,FALSE,DJ,1863,1860s
"The life of Henry St. John, viscount Bolingbroke ... /",1863.,FALSE,DA,1863,1860s
The whole works of Roger Ascham /,1864-1865.,FALSE,PR,1864,1860s
The annual register.,1864-1954.,FALSE,D,1864,1860s
The annual register.,1864-1954.,FALSE,D,1864,1860s
The annual register.,1864-1954.,FALSE,D,1864,1860s
The annual register.,1864-1954.,FALSE,D,1864,1860s
The annual register.,1864-1954.,FALSE,D,1864,1860s
The annual register.,1864-1954.,FALSE,D,1864,1860s
The annual register.,1864-1954.,FALSE,D,1864,1860s
"... Opera omnia : juxta editionem Georgii Colvenerii anno 1617 coloniae agrippinae datam, mendis quibus scatebat innumeris cura qua par erat expurgatam, novissime ad prelum revocata, et novo ordine, chronologico scilicet, digesta .",1864-78.,FALSE,BR,1864,1860s
"Colección de documentos inéditos, relativos al descubrimiento, conquista y organización de las antiguas posesiones españolas de América y Oceanía, sacados de los archivos del reino, y muy especialmente del de Indias.",1864-84.,FALSE,E,1864,1860s
"Colección de documentos inéditos, relativos al descubrimiento, conquista y organización de las antiguas posesiones españolas de América y Oceanía, sacados de los archivos del reino, y muy especialmente del de Indias.",1864-84.,FALSE,E,1864,1860s
"The married life of Anne of Austria, queen of France, mother of Louis XIV., and Don Sebastian, king of Portugal. Historical studies.",1864.,FALSE,DC,1864,1860s
Archives royales de Chenonceau: Lettres et devis de Philibert de l'Orme et autres pièces relatives à la construction du château de Chenonceau /,1864.,FALSE,DC,1864,1860s
Customs and traditions of Palestine illustrating the manners of the ancient Hebrews /,1864.,FALSE,DS,1864,1860s
Polychronicon Ranulphi Higden monachi Cestrensis; together with the English translations of John Trevisa and of an unknown writer of the fifteenth century /,1865-86.,FALSE,DA,1865,1860s
"Historia Anglorum, sive, ut vulgo dicitur, Historia minor. Item, ejusdem Abbreviatio chronicorum Angliæ /",1866-69.,FALSE,DA,1866,1860s
Biographische Aufsätze /,1866.,FALSE,DD,1866,1860s
Oeuvres de Froissart.,1867-1877.,FALSE,D,1867,1860s
Oeuvres de Froissart.,1867-1877.,FALSE,D,1867,1860s
"Survey of the county of York, commonly called Kirkby's inquest : also inquisitions of knights' fees, the Nomina villarum for Yorkshire & an apx. of illustrative documents.",1867.,FALSE,DA,1867,1860s
"The War of the Gaedhil with The Gaill, or, The invasions of Ireland by the Danes and other Norsemen /",1867.,FALSE,DA,1867,1860s
Gesta regis Henrici Secundi Benedicti abbatis : The chronicle of the reigns of Henry II. and Richard I. A.D. 1169-1192; known commonly under the name of Benedict of Peterborough /,1867.,FALSE,DA,1867,1860s
The Hengwrt ms of Chaucer's Canterbury tales.,1868-1879.,FALSE,PR,1868,1860s
"Mémoires de Madame de Mornay; édition revue sur les manuscrits, publiée avec les variantes et accompagnée de lettres inédites de m' et de mme Du Plessis Mornay et de leurs enfants;",1868-69.,FALSE,DC,1868,1860s
"Sketches of Central Asia : additional chapters on my travels, adventures, and on the ethnology of Central Asia.",1868.,FALSE,DK,1868,1860s
"Early English meals and manners: John Russell's Boke of nurture, Wynkyn de Worde's Boke of keruynge, The boke of curtasye, R. Weste's Booke of demeanor, Seager's Schoole of vertue, The babees book, Aristole's A B C, Urbanitatis, Stans puer ad mensam, The lytylle childrenes lytil boke, For to serve a lord, Old Symon, The birched school-boy, &c. &c., with some forewords on education in early England.",1868. <Reprinted 1931>,FALSE,PR,1868,1860s
A history of Greece ... /,1869-70.,FALSE,DF,1869,1860s
A history of Greece ... /,1869-70.,FALSE,DF,1869,1860s
A history of Greece ... /,1869-70.,FALSE,DF,1869,1860s
Works in verse & prose (including hitherto unpublished MSS) of Sir John Davies /,1869-76.,FALSE,PR,1869,1860s
"A six-text print of Chaucer's Canterbury tales : in parallel columns from the following mss: 1. The Ellesmere. 2. The Hengwrt 154. 3. The Cambridge University libr. Gg. 4.27. 4. The Corpus Christi coll., Oxford. 5. The Petworth. 6. The Lansdowne 851 /",1869-77.,FALSE,PR,1869,1860s
Mémoires du maréchal duc de Richelieu /,1869-89.,FALSE,DC,1869,1860s
"On early English pronunciation : with special reference to Shakspere and Chaucer, containing an investigation of the correspondence of writing with speech in England from the Anglosaxon period to the present day, preceded by a systematic notation of all spoken sounds by means of the ordinary printing types /",1869-89.,FALSE,PR,1869,1860s
A dictionary of Greek and Roman biography and mythology /,1869.,FALSE,DE,1869,1860s
"Historia general de España,",1869.,FALSE,DP,1869,1860s
"Historia general de España,",1869.,FALSE,DP,1869,1860s
"Historia general de España,",1869.,FALSE,DP,1869,1860s
Journal de ma vie : mémoires du maréchal de Bassompierre.,1870-77.,FALSE,DC,1870,1870s
Works of John Taylor the Water poet not included in the folio volume of 1630,1870-78.,FALSE,PR,1870,1870s
"The Jews, their past, present, and future; being a succinct history of God's ancient people in all ages;",1870.,FALSE,DS,1870,1870s
The works .,1871-1889.,FALSE,PR,1871,1870s
Writings of Origen /,1871-72.,FALSE,BR,1871,1870s
Phoenicia and Israel : A historical essay /,1871.,FALSE,DS,1871,1870s
The mutineers of the Bounty and their descendants in Pitcairn and Norfolk islands.,1871.,FALSE,DU,1871,1870s
Jahrbuch der Gesellschaft für Bildende Kunst und Vaterländische Altertümer zu Emden.,1872-,FALSE,DD,1872,1870s
Jahrbuch der Gesellschaft für Bildende Kunst und Vaterländische Altertümer zu Emden.,1872-,FALSE,DD,1872,1870s
Jahrbuch der Gesellschaft für Bildende Kunst und Vaterländische Altertümer zu Emden.,1872-,FALSE,DD,1872,1870s
The works of Aurelius Augustine ... : A new translation /,1872-[1934],FALSE,BR,1872,1870s
Complete poems ... /,1872-73.,FALSE,PR,1872,1870s
Miscellaneous works of George Wither,1872-78.,FALSE,PR,1872,1870s
"Matthæi Parisiensis : monachi Santi Albani, Chronica majora /",1872-83.,FALSE,DA,1872,1870s
"The register, or rolls, of Walter Gray, lord archbishop of York /",1872.,FALSE,DA,1872,1870s
The register of the Guild of Corpus Christi in the city of York /,1872.,FALSE,DA,1872,1870s
The Roxburghe ballads /,1873-1874.,FALSE,PR,1873,1870s
"Paul, the apostle of Jesus Christ, his life and work, his epistles and teachings.  A contribution to a critical history of primitive Christianity.",1873-75.,FALSE,BS,1873,1870s
Phillipp von Schwaben und Otto IV von Braunschweig ..,1873-78.,FALSE,DD,1873,1870s
Debates in the House of commons in 1625 /,1873.,FALSE,DA,1873,1870s
"Old court life in France,",1873.,FALSE,DC,1873,1870s
Etudes sur l'antiquité historique : d'aprés les sources égyptiennes et les monuments reputés préhistoriques.,1873.,FALSE,DT,1873,1870s
Lives of the lord chancellors and keepers of the great seal of England: from the earliest times till the reign of Queen Victoria /,1874-1875.,FALSE,DA,1874,1870s
A select collection of old English plays.,1874-76.,FALSE,PR,1874,1870s
A select collection of old English plays.,1874-76.,FALSE,PR,1874,1870s
A select collection of old English plays.,1874-76.,FALSE,PR,1874,1870s
A select collection of old English plays.,1874-76.,FALSE,PR,1874,1870s
Die stadt Athen im alterthum.,1874-90.,FALSE,DG,1874,1870s
"The history of England: from the first invasion by the Romans to the accession of William and Mary in 1688,",1874.,FALSE,DA,1874,1870s
Works /,1875-1911.,FALSE,PR,1875,1870s
"Camille Desmoulins, Lucile Desmoulins : étude sur les Dantonistes, d'après des documents nouveaux & inédits.",1875.,FALSE,DC,1875,1870s
"Journey in the Caucasus, Persia, and Turkey in Asia,",1875.,FALSE,DS,1875,1870s
Select plays /,1876-,FALSE,PR,1876,1870s
Select plays /,1876-,FALSE,PR,1876,1870s
[Works],1876-1886 [c1851-1882],FALSE,PS,1876,1870s
[Works],1876-1886 [c1851-1882],FALSE,PS,1876,1870s
[Works],1876-1886 [c1851-1882],FALSE,PS,1876,1870s
The Saxons in England : A history of the English commonwealth till the period of the Norman conquest /,1876.,FALSE,DA,1876,1870s
Notitia dignitatum : accedunt Notitia urbis Constantinopolitanae et laterculi prouinciarum /,1876.,FALSE,DG,1876,1870s
"The journey of Augustus Raymond Margary : from Shanghae to Bhamo, and back to Manwyne. From his journals and letters, with a brief biographical preface: to which is added a concluding chapter /",1876.,FALSE,DS,1876,1870s
Le comte de Fersen et la cour de France.,1877-1878.,FALSE,DC,1877,1870s
"A dictionary of Christian biography, literature, sects and doctrines : being a continuation of ""The dictionary of the Bible"" /",1877-87.,FALSE,BR,1877,1870s
Correspondance des Saulx-Tavanes au XVIe siècle.,1877.,FALSE,DC,1877,1870s
"A history of Greece, from its conquest by the Romans to the present time, B.C. 146 to A.D. 1864;",1877.,FALSE,DF,1877,1870s
"Handbook for travellers in Northern Italy : comprising Turin, Milan, Pavia, Cremona, the Italian lakes, Bergamo, Brescia, Verona, Mantua, Vicenza, Padua, Venice, Ferrara, Bologna, Ravenna, Rimini, Modena, Parma, Piacenza, Genoa, the Riviera, and the intermediate towns and routes.",1877.,FALSE,DG,1877,1870s
Les arts à la cour des papes pendant le XVe et le XVIe siècle: recueil de documents inédits tirés des archives et des bibliothèques romaines /,1878-1882.,FALSE,D,1878,1870s
Mémoires du général Dumouriez pour servir à l'histoire de la Convention nationale /,"1878-86. (v. 1, 1886)",FALSE,DC,1878,1870s
"England in the reign of King Henry the Eighth ... : [A dialogue between Cardinal Pole and Thomas Lupset, lecturer in rhetoric at Oxford /","1878, '71.",FALSE,PR,1878,1870s
The Northmen /,1878],FALSE,BR,1878,1870s
"Hugonis de S. Victore canonici regularis S. Victoris Parisiensis : tum pietate, tum doctrina insignis opera omnia; tribus tomis digesta ex manuscriptis ejusdem operibus quae in Bibliotheca Victorina servantur accurate castigata et emendata, cum vita ipsius antehac nusquam edita /",1879-1880.,FALSE,BR,1879,1870s
Geschiedenis van Amsterdam /,1879-93.,FALSE,DJ,1879,1870s
The War of the Rebellion : a compilation of the official records of the Union and Confederate armies /,1880-1901.,FALSE,E,1880,1880s
The War of the Rebellion : a compilation of the official records of the Union and Confederate armies /,1880-1901.,FALSE,E,1880,1880s
The War of the Rebellion : a compilation of the official records of the Union and Confederate armies /,1880-1901.,FALSE,E,1880,1880s
The War of the Rebellion : a compilation of the official records of the Union and Confederate armies /,1880-1901.,FALSE,E,1880,1880s
The War of the Rebellion : a compilation of the official records of the Union and Confederate armies /,1880-1901.,FALSE,E,1880,1880s
The War of the Rebellion : a compilation of the official records of the Union and Confederate armies /,1880-1901.,FALSE,E,1880,1880s
The War of the Rebellion : a compilation of the official records of the Union and Confederate armies /,1880-1901.,FALSE,E,1880,1880s
The War of the Rebellion : a compilation of the official records of the Union and Confederate armies /,1880-1901.,FALSE,E,1880,1880s
